,2,3,4
0.45,[[]],[[]],[[]]
0.455,[[]],[[]],[[]]
0.46,[[]],[[]],[[]]
0.465,[[]],[[]],[[]]
0.47000000000000003,[[]],[[]],[[]]
0.47500000000000003,[[]],[[]],[[]]
0.48000000000000004,[[]],[[]],[[]]
0.48500000000000004,[[]],[[]],[[]]
0.49000000000000005,[[]],[[]],[[]]
0.49500000000000005,[[]],[[]],[[]]
0.5,[[]],[[]],[[]]
0.5050000000000001,[[]],[[]],[[]]
0.51,[[]],[[]],[[]]
0.5150000000000001,[[]],[[]],[[]]
0.52,[[]],[[]],[[]]
0.5250000000000001,[[]],[[]],[[]]
0.53,[[]],[[]],[[]]
0.5350000000000001,[[]],[[]],[[]]
0.54,[[]],[[]],[[]]
0.5450000000000002,[[]],[[]],[[]]
0.55,[[]],[[]],[[]]
0.5550000000000002,[[]],[[]],[[]]
0.56,[[]],[[]],[[]]
0.5650000000000002,[[]],[[]],[[]]
0.5700000000000001,[[]],[[]],[[]]
0.5750000000000002,[[]],[[]],[[]]
0.5800000000000001,[[]],[[]],[[]]
0.5850000000000002,[[]],[[]],[[]]
0.5900000000000001,[[]],[[]],[[]]
0.5950000000000002,[[]],[[]],[[]]
0.6000000000000001,[[]],[[]],[[]]
0.6050000000000002,[[]],[[]],[[]]
0.6100000000000001,[[]],[[]],[[]]
0.6150000000000002,[[]],[[]],[[]]
0.6200000000000001,[[]],[[]],[[]]
0.6250000000000002,[[]],[[]],[[]]
0.6300000000000001,[[]],[[]],[[]]
0.6350000000000002,[[]],[[]],[[]]
0.6400000000000001,[[]],[[]],[[]]
0.6450000000000002,[[]],[[]],[[]]
0.6500000000000001,[[]],[[]],[[]]
0.6550000000000002,[[]],[[]],[[]]
0.6600000000000001,[[]],[[]],[[]]
0.6650000000000003,[[]],[[]],"[['b', 'c', 'd'], ['a'], []]"
0.6700000000000002,[[]],[[]],"[['b', 'c', 'd'], ['a'], []]"
0.6750000000000003,[[]],[[]],"[['b', 'c', 'd'], ['a'], []]"
0.6800000000000002,[[]],[[]],"[['a', 'b', 'c', 'd'], []]"
0.6850000000000003,[[]],[[]],"[['a', 'b', 'c', 'd'], []]"
0.6900000000000002,[[]],[[]],"[['a', 'b', 'c', 'd'], []]"
0.6950000000000003,[[]],"[['b', 'c'], ['a'], []]","[['a', 'b', 'c', 'd'], []]"
0.7000000000000002,[[]],"[['b', 'c'], ['a'], []]","[['a', 'b', 'c', 'd'], []]"
0.7050000000000003,[[]],"[['b', 'c'], ['a'], []]","[['a', 'b', 'c', 'd'], []]"
0.7100000000000002,[[]],"[['b', 'c'], ['a'], []]","[['a', 'b', 'c', 'd'], []]"
0.7150000000000003,[[]],"[['b', 'c'], ['a'], []]","[['a', 'b', 'c', 'd'], []]"
0.7200000000000002,[[]],"[['a', 'b', 'c'], []]","[['a', 'b', 'c', 'd'], []]"
0.7250000000000003,[[]],"[['a', 'b', 'c'], []]","[['a', 'b', 'c', 'd'], []]"
0.7300000000000002,[[]],"[['a', 'b', 'c'], []]","[['a', 'b', 'c', 'd'], []]"
0.7350000000000003,[[]],"[['a', 'b', 'c'], []]","[['a', 'b', 'c', 'd'], []]"
0.7400000000000002,[[]],"[['a', 'b', 'c'], []]","[['a', 'b', 'c', 'd'], []]"
0.7450000000000003,[[]],"[['a', 'b', 'c'], []]","[['a', 'b', 'c', 'd'], []]"
0.7500000000000002,"[['b'], ['a'], []]","[['a', 'b', 'c'], []]","[['a', 'b', 'c', 'd'], []]"
0.7550000000000003,"[['b'], ['a'], []]","[['a', 'b', 'c'], []]","[['a', 'b', 'c', 'd'], []]"
0.7600000000000002,"[['b'], ['a'], []]","[['a', 'b', 'c'], []]","[['a', 'b', 'c', 'd'], []]"
0.7650000000000003,"[['b'], ['a'], []]","[['a', 'b', 'c'], []]","[['a', 'b', 'c', 'd'], []]"
0.7700000000000002,"[['b'], ['a'], []]","[['a', 'b', 'c'], []]","[['a', 'b', 'c', 'd'], []]"
0.7750000000000004,"[['b'], ['a'], []]","[['a', 'b', 'c'], []]","[['a', 'b', 'c', 'd'], []]"
0.7800000000000002,"[['b'], ['a'], []]","[['a', 'b', 'c'], []]","[['a', 'b', 'c', 'd'], []]"
0.7850000000000004,"[['b'], ['a'], []]","[['a', 'b', 'c'], []]","[['a', 'b', 'c', 'd'], []]"
0.7900000000000003,"[['b'], ['a'], []]","[['a', 'b', 'c'], []]","[['a', 'b', 'c', 'd'], []]"
0.7950000000000004,"[['a', 'b'], []]","[['a', 'b', 'c'], []]","[['a', 'b', 'c', 'd'], []]"
0.8000000000000003,"[['a', 'b'], []]","[['a', 'b', 'c'], []]","[['a', 'b', 'c', 'd'], []]"
0.8050000000000004,"[['a', 'b'], []]","[['a', 'b', 'c'], []]","[['a', 'b', 'c', 'd'], []]"
0.8100000000000003,"[['a', 'b'], []]","[['a', 'b', 'c'], []]","[['a', 'b', 'c', 'd'], []]"
0.8150000000000004,"[['a', 'b'], []]","[['a', 'b', 'c'], []]","[['a', 'b', 'c', 'd'], []]"
0.8200000000000003,"[['a', 'b'], []]","[['a', 'b', 'c'], []]","[['a', 'b', 'c', 'd'], []]"
0.8250000000000004,"[['a', 'b'], []]","[['a', 'b', 'c'], []]","[['a', 'b', 'c', 'd'], []]"
0.8300000000000003,"[['a', 'b'], []]","[['a', 'b', 'c'], []]","[['a', 'b', 'c', 'd'], []]"
0.8350000000000004,"[['a', 'b'], []]","[['a', 'b', 'c'], []]","[['a', 'b', 'c', 'd'], []]"
0.8400000000000003,"[['a', 'b'], []]","[['a', 'b', 'c'], []]","[['a', 'b', 'c', 'd'], []]"
0.8450000000000004,"[['a', 'b'], []]","[['a', 'b', 'c'], []]","[['a', 'b', 'c', 'd'], []]"
0.8500000000000003,"[['a', 'b'], []]","[['a', 'b', 'c'], []]","[['a', 'b', 'c', 'd'], []]"
0.8550000000000004,"[['a', 'b'], []]","[['a', 'b', 'c'], []]","[['a', 'b', 'c', 'd'], []]"
0.8600000000000003,"[['a', 'b'], []]","[['a', 'b', 'c'], []]","[['a', 'b', 'c', 'd'], []]"
0.8650000000000004,"[['a', 'b'], []]","[['a', 'b', 'c'], []]","[['a', 'b', 'c', 'd'], []]"
0.8700000000000003,"[['a', 'b'], []]","[['a', 'b', 'c'], []]","[['a', 'b', 'c', 'd'], []]"
0.8750000000000004,"[['a', 'b'], []]","[['a', 'b', 'c'], []]","[['a', 'b', 'c', 'd'], []]"
0.8800000000000003,"[['a', 'b'], []]","[['a', 'b', 'c'], []]","[['a', 'b', 'c', 'd'], []]"
0.8850000000000005,"[['a', 'b'], []]","[['a', 'b', 'c'], []]","[['a', 'b', 'c', 'd'], []]"
0.8900000000000003,"[['a', 'b'], []]","[['a', 'b', 'c'], []]","[['a', 'b', 'c', 'd'], []]"
0.8950000000000005,"[['a', 'b'], []]","[['a', 'b', 'c'], []]","[['a', 'b', 'c', 'd'], []]"
0.9000000000000004,"[['a', 'b'], []]","[['a', 'b', 'c'], []]","[['a', 'b', 'c', 'd'], []]"
0.9050000000000005,"[['a', 'b'], []]","[['a', 'b', 'c'], []]","[['a', 'b', 'c', 'd'], []]"
0.9100000000000004,"[['a', 'b'], []]","[['a', 'b', 'c'], []]","[['a', 'b', 'c', 'd'], []]"
0.9150000000000005,"[['a', 'b'], []]","[['a', 'b', 'c'], []]","[['a', 'b', 'c', 'd'], []]"
0.9200000000000004,"[['a', 'b'], []]","[['a', 'b', 'c'], []]","[['a', 'b', 'c', 'd'], []]"
0.9250000000000005,"[['a', 'b'], []]","[['a', 'b', 'c'], []]","[['a', 'b', 'c', 'd'], []]"
0.9300000000000004,"[['a', 'b'], []]","[['a', 'b', 'c'], []]","[['a', 'b', 'c', 'd'], []]"
0.9350000000000005,"[['a', 'b'], []]","[['a', 'b', 'c'], []]","[['a', 'b', 'c', 'd'], []]"
0.9400000000000004,"[['a', 'b'], []]","[['a', 'b', 'c'], []]","[['a', 'b', 'c', 'd'], []]"
0.9450000000000005,"[['a', 'b'], []]","[['a', 'b', 'c'], []]","[['a', 'b', 'c', 'd'], []]"
0.9500000000000004,"[['a', 'b'], []]","[['a', 'b', 'c'], []]","[['a', 'b', 'c', 'd'], []]"
0.9550000000000005,"[['a', 'b'], []]","[['a', 'b', 'c'], []]","[['a', 'b', 'c', 'd'], []]"
0.9600000000000004,"[['a', 'b'], []]","[['a', 'b', 'c'], []]","[['a', 'b', 'c', 'd'], []]"
0.9650000000000005,"[['a', 'b'], []]","[['a', 'b', 'c'], []]","[['a', 'b', 'c', 'd'], []]"
0.9700000000000004,"[['a', 'b'], []]","[['a', 'b', 'c'], []]","[['a', 'b', 'c', 'd'], []]"
0.9750000000000005,"[['a', 'b'], []]","[['a', 'b', 'c'], []]","[['a', 'b', 'c', 'd'], []]"
0.9800000000000004,"[['a', 'b'], []]","[['a', 'b', 'c'], []]","[['a', 'b', 'c', 'd'], []]"
0.9850000000000005,"[['a', 'b'], []]","[['a', 'b', 'c'], []]","[['a', 'b', 'c', 'd'], []]"
0.9900000000000004,"[['a', 'b'], []]","[['a', 'b', 'c'], []]","[['a', 'b', 'c', 'd'], []]"
0.9950000000000006,"[['a', 'b'], []]","[['a', 'b', 'c'], []]","[['a', 'b', 'c', 'd'], []]"
1.0000000000000004,"[['a', 'b'], []]","[['a', 'b', 'c'], []]","[['a', 'b', 'c', 'd'], []]"
